id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
83	335	GF05000016S	root	8.878	-82.9524	North America	2011	2011	cropland	5.8S/ITS4	21.5	3583	5.6	6.3	549226	0	1
118	574	GF03003408S	soil	50.5939	3.48917	Europe	2015	2015	cropland	ITS3ngs mix/ITS4ngs	10.6	763	5.8	2.2	105004	0	40
134	579	GF03002275S	soil	7.08389	38.6189	Africa	2015	2015	cropland	fITS7/ITS4	19	918	6.5	5.5	66278	0	6
159	421	GF04004799S	soil	42.38	-85.37	North America	2015	2015	grassland	fITS9/ITS4	9.2	881	6	14.2	177958	1	33
167	122	GF05019561S	soil	24.26	118.05	Asia	2018	2018	forest	ITS5/ITS2	22.1	1142	6.1	8.9	60121	0	2
168	122	GF05019583S	soil	24.26	118.05	Asia	2018	2018	forest	ITS5/ITS2	22.1	1142	6.1	8.9	68766	0	2
196	731	GF01010890S	soil	48.38	13.5511	Europe	2014	2014	grassland	fITS9/ITS4	9.7	845	6.2	14.4	4446	0	1
253	143	GF05017621S	soil	45.6357	-110.571	North America	2012	2012	woodland	fITS9/ITS4	7.4	294	7.2	7.2	147497	0	12
273	421	GF04004803S	soil	43.1333	-89.35	North America	2015	2015	grassland	fITS9/ITS4	8.7	775	6.3	5.7	137525	1	37
343	658	GF01019131S	soil	31.5222	89.7547	Asia	2011	2011	desert	ITS3/ITS4	0.1	187	8.3	0	66473	0	8
381	362	GF04018655S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	42766	1	1
390	421	GF04004833S	soil	42.38	-85.37	North America	2015	2015	grassland	fITS9/ITS4	9.2	881	6	14.2	92781	1	2
396	335	GF05000020S	root	10.3252	-84.8405	North America	2011	2011	cropland	5.8S/ITS4	18.9	2544	5.5	6.7	317795	0	4
455	275	GF05005220S	soil	47.18	7.4	Europe	2017	2017	cropland	ITS3/ITS4	10.5	1083	6.5	9.3	42049	0	3
489	420	GF04004894S	rhizosphere soil	34.2833	108.067	Asia	2015	2015	cropland	ITS1F/ITS2	14.7	734	8	7.4	46767	0	1
490	420	GF04004895S	rhizosphere soil	34.2833	108.067	Asia	2015	2015	cropland	ITS1F/ITS2	14.7	734	8	7.4	45733	0	5
513	642	GF02000327S	soil	-15.9604	-5.64978	Africa	2018	2018	woodland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	19.8	871	7.2	4.8	11855	0	4
545	421	GF04004807S	soil	42.38	-85.37	North America	2015	2015	grassland	fITS9/ITS4	9.2	881	6	14.2	128613	0	13
583	835	GF01000767S	soil	-34.7109	138.681	Australia	2016	2016	anthropogenic	ITS1F/ITS4	16.3	511	6.7	0	19342	0	3
593	251	GF05009186S	soil	42.9039	116.012	Asia	2018	2018	grassland	ITS1F/ITS2	2.9	322	7.9	2	81633	0	1
676	423	GF04004671S	soil	28.1428	116.923	Asia	2017	2017	cropland	ITS1F/ITS2	19.2	1788	5.5	12	67036	0	4
708	835	GF01000780S	soil	-34.6767	138.665	Australia	2016	2016	grassland	ITS1F/ITS4	16.4	466	7.1	2.1	34296	0	4
713	499	GF03009134S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	64955	0	1
730	574	GF03003404S	soil	50.5083	3.5325	Europe	2015	2015	cropland	ITS3ngs mix/ITS4ngs	10.7	758	6.3	3.2	129774	0	24
735	807	GF01005347S	soil	52.2731	-3.54029	Europe	2013	2014	grassland	ITS5/5.8S_fungi	8.1	1430	5.1	18.7	121036	0	2
747	574	GF03003377S	soil	50.5083	3.5325	Europe	2015	2015	cropland	ITS3ngs mix/ITS4ngs	10.7	758	6.3	3.2	104242	0	11
748	421	GF04004809S	soil	42.38	-85.37	North America	2015	2015	grassland	fITS9/ITS4	9.2	881	6	14.2	190415	1	15
750	659	GF01019122S	soil	32.1833	91.6667	Asia	2011	2011	grassland	ITS3/ITS4	-1.2	288	8.2	0.6	45808	0	2
796	451	GF04002216S	soil	38.871	-122.427	North America	2013	2013	grassland	ITS1F/ITS3	12.7	872	6.2	6.9	105958	1	12
896	423	GF04004649S	soil	28.1397	116.885	Asia	2017	2017	cropland	ITS1F/ITS2	19.2	1776	5.7	11.6	71679	0	14
925	439	GF04003208S	soil	38.31	106.22	Asia	2017	2017	cropland	ITS5/ITS2	10.5	201	8.6	0.5	43400	0	3
951	262	GF05006531S	soil	63.8734	19.7297	Europe	2017	2017	grassland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	3.1	613	4.5	16	43832	0	9
959	420	GF04004896S	rhizosphere soil	34.2833	108.067	Asia	2016	2016	cropland	ITS1F/ITS2	14.7	734	8	7.4	45187	0	1
1009	421	GF04004811S	soil	43.1333	-89.35	North America	2015	2015	grassland	fITS9/ITS4	8.7	775	6.3	5.7	180466	1	11
1047	134	GF05018608S	soil	35.9379	126.993	Asia	2017	2017	cropland	ITS3/ITS4	13.7	1246	5.4	13.8	246925	0	1
1123	378	GF04011019S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	720384	0	1
1126	362	GF04018656S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	53810	1	1
1185	378	GF04009067S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	549924	0	2
1233	421	GF04004836S	soil	43.1333	-89.35	North America	2015	2015	grassland	fITS9/ITS4	8.7	775	6.3	5.7	162608	0	7
1272	574	GF03003378S	soil	50.5083	3.5325	Europe	2015	2015	cropland	ITS3ngs mix/ITS4ngs	10.7	758	6.3	3.2	130624	0	7
1299	559	GF03005590S	soil	51.3916	11.8756	Europe	2016	2016	grassland	fITS7/ITS4	9.5	481	6.9	5.1	46270	0	1
